2400,State,CNG PSI,Owner Type Code,CNG Dispenser Num,CNG Total Compression Capacity,CNG Storage Capacity,CNG Fill Type Code,CNG Vehicle Class,,,,,Log CNG Storage Capacity,Log CNG Total Compression Capacity
1,AL,3600,T,0,480,,B,2,,,,,,8
2,GA,3600,P,1,30,,Q,2,,,,,,4
3,GA,3000,LG,0,30,,Q,1,2400,cng psi min,,,,4
4,GA,3600,P,0,480,,B,3,3600,cng psi max,,LD - 1,,8
5,TX,3300,P,2,420,,Q,2,,,,MD - 2,,8
6,AR,3600,T,1,250,57855,Q,2,0,cng dis min,,HD - 3,15,7
7,MA,3300,SG,4,850,,Q,2,5,cng dis max,,,,9
8,MA,3300,T,1,425,,Q,3,,,,,,8
9,NY,3300,T,1,1200,,Q,3,,480,cng total compre avg,,,10
10,NY,3300,T,1,525,,B,2,,25,compre min,,,9
11,IN,3300,P,0,480,,B,2,,8250,compre max,,,8
12,IN,3600,T,1,720,34500,Q,2,,,,,15,9
13,CT,3600,P,2,120,,Q,3,,593136,capacity min,,,6
14,LA,3600,P,2,112,,Q,3,,3200,capacity max,,,6
15,NM,3300,LG,1,300,,Q,3,,11,log min,,,8
16,KS,3600,T,1,480,52000,Q,3,,19,log max,,15,8
17,ID,3600,T,0,70,,Q,1,,,,,,6
18,ID,3000,T,0,25,,Q,1,,,,,,4
19,ID,3000,T,0,25,,Q,1,,4,log tot com min,,,4
20,ID,3000,T,0,25,,Q,1,,14,log tot com max,,,4
21,ID,3600,LG,0,1000,,Q,3,,,,,,9
22,KS,3600,T,2,480,30000,Q,3,,,,,14,8
23,MO,3300,T,1,56,34713,Q,2,,,,,15,5
24,NY,3300,T,1,200,,Q,2,,,,,,7
25,NY,3300,T,1,150,,Q,2,,,,,,7
26,TX,3600,P,1,200,,Q,2,,,,,,7
27,TX,3600,P,1,615,,Q,3,,,,,,9
28,TX,3300,P,2,100,,Q,3,,,,,,6
29,UT,3000,SG,0,30,,Q,3,,,,,,4
30,UT,3300,T,3,700,,Q,3,,,,,,9
31,UT,3000,T,0,250,,T,2,,,,,,7
32,UT,3000,LG,0,480,,T,2,,,,,,8
33,UT,3600,P,1,25,,Q,3,,,,,,4
34,UT,3600,P,1,150,,Q,3,,,,,,7
35,UT,3000,P,1,150,,Q,3,,,,,,7
36,UT,3000,T,0,480,,Q,2,,,,,,8
37,AL,3600,T,0,480,,B,2,,,,,,8
38,MN,3600,T,0,182,,Q,3,,,,,,7
39,NE,3600,T,2,634,,Q,2,,,,,,9
40,CO,3600,P,1,58,,Q,2,,,,,,5
41,CO,3300,P,1,600,,Q,3,,,,,,9
42,NY,3300,T,2,440,,Q,2,,,,,,8
43,OR,3300,T,0,25,,B,2,,,,,,4
44,OR,3300,T,0,25,,B,2,,,,,,4
45,OR,3600,T,1,70,5000,B,2,,,,,12,6
46,OR,3600,SG,2,100,32000,Q,3,,,,,14,6
47,OK,3000,LG,0,50,,T,2,,,,,,5
48,OK,3300,P,0,500,,Q,2,,,,,,8
49,OK,3600,T,0,250,33000,B,2,,,,,15,7
50,OK,3600,T,1,350,66000,B,2,,,,,16,8
51,OK,3600,T,1,100,33000,Q,2,,,,,15,6
52,OK,3600,T,1,100,33000,B,2,,,,,15,6
53,OK,3000,LG,0,50,,B,2,,,,,,5
54,OK,3600,P,1,222,55000,Q,2,,,,,15,7
55,OK,3600,T,1,400,66000,B,2,,,,,16,8
56,OK,3000,LG,0,150,,B,2,,,,,,7
57,OK,3000,LG,0,50,,B,2,,,,,,5
58,OK,3600,T,1,200,33000,B,2,,,,,15,7
59,OK,3600,T,1,100,33000,B,2,,,,,15,6
60,OK,3600,T,1,300,66000,B,2,,,,,16,8
61,PA,3000,P,1,39,,Q,2,,,,,,5
62,PA,3300,P,1,78,,B,2,,,,,,6
63,CA,3300,T,1,30,,Q,3,,,,,,4
64,CA,3300,P,2,270,,Q,2,,,,,,8
65,CA,3300,T,1,30,,Q,1,,,,,,4
66,CA,3300,T,1,400,,B,3,,,,,,8
67,CA,3000,LG,0,220,,Q,3,,,,,,7
68,CA,3300,T,1,120,,B,3,,,,,,6
69,CA,3300,T,1,75,,B,2,,,,,,6
70,CA,3300,T,1,150,,B,2,,,,,,7
71,CA,3300,T,1,240,,B,2,,,,,,7
72,CA,3300,T,1,116,,B,2,,,,,,6
73,CA,3300,T,1,300,,Q,3,,,,,,8
74,CA,3300,T,1,50,,B,2,,,,,,5
75,CA,3300,T,1,60,,B,2,,,,,,5
76,CA,3300,T,1,300,,Q,2,,,,,,8
77,CA,3300,T,1,60,,B,1,,,,,,5
78,CA,3300,T,1,120,,B,3,,,,,,6
79,CA,3300,T,1,65,,B,3,,,,,,6
80,CA,3300,T,1,90,,B,2,,,,,,6
81,CA,3300,T,1,240,,Q,2,,,,,,7
82,CA,3600,LG,4,480,,Q,3,,,,,,8
83,CA,3300,T,1,200,,Q,3,,,,,,7
84,CA,3600,LG,0,100,,T,3,,,,,,6
85,FL,3300,LG,2,25,,Q,3,,,,,,4
86,FL,3000,T,0,50,,Q,2,,,,,,5
87,FL,3000,T,0,50,,Q,2,,,,,,5
88,SC,3600,T,2,25,,Q,3,,,,,,4
89,NC,3600,T,1,116,72000,Q,3,,,,,16,6
90,CA,3000,P,1,50,,B,3,,,,,,5
91,CA,3600,LG,4,5376,33600,Q,3,,,,,15,12
92,CA,3600,T,1,700,35165,Q,1,,,,,15,9
93,CA,3600,P,2,900,,Q,2,,,,,,9
94,CA,3300,LG,2,50,30000,B,3,,,,,14,5
95,CA,3600,T,2,1000,40493,Q,1,,,,,15,9
96,CA,3600,T,1,100,26640,Q,1,,,,,14,6
97,CA,3600,LG,5,3400,50400,Q,3,,,,,15,11
98,CA,3300,P,1,480,,Q,3,,,,,,8
99,CA,3300,LG,0,480,,Q,3,,,,,,8
100,CA,3300,P,1,150,,Q,3,,,,,,7
101,CA,3300,LG,2,480,,Q,3,,,,,,8
102,CA,3600,T,2,1050,87647,Q,3,,,,,16,10
103,CA,3600,T,1,1000,43823,Q,2,,,,,15,9
104,CA,3300,LG,0,480,,Q,3,,,,,,8
105,CA,3600,T,1,650,63937,Q,3,,,,,15,9
106,CA,3300,LG,4,100,3200,Q,3,,,,,11,6
107,CA,3300,LG,0,480,,Q,3,,,,,,8
108,CA,3300,SG,3,500,12000,Q,3,,,,,13,8
109,CA,3300,P,1,1300,107600,Q,3,,,,,16,10
110,CA,3600,T,2,650,87647,Q,2,,,,,16,9
111,CA,3600,T,1,650,87647,Q,1,,,,,16,9
112,CA,3600,LG,0,480,,Q,2,,,,,,8
113,CA,3300,P,1,350,,Q,3,,,,,,8
114,CA,3600,T,1,650,63937,Q,2,,,,,15,9
115,CA,3600,P,2,170,,Q,3,,,,,,7
116,AR,3600,T,0,250,57855,Q,2,,,,,15,7
117,AZ,3600,LG,0,480,,B,3,,,,,,8
118,AZ,3600,T,0,200,,B,3,,,,,,7
119,AZ,3600,T,0,200,,Q,3,,,,,,7
120,AZ,3000,LG,0,2500,,Q,3,,,,,,11
121,NV,3300,LG,1,300,,Q,3,,,,,,8
122,VA,3600,T,1,185,,Q,3,,,,,,7
123,VA,3600,T,2,850,593136,Q,3,,,,,19,9
124,2,2400,LG,2,1200,34000,Q,3,,,,,15,10
125,WA,3600,T,0,28,,Q,3,,,,,,4
126,WA,3600,T,0,28,,Q,3,,,,,,4
127,WA,3600,T,0,28,,Q,3,,,,,,4
128,TN,3600,LG,2,185,,Q,3,,,,,,7
129,CA,3300,LG,0,480,,Q,3,,,,,,8
130,CA,3300,P,5,1200,,Q,2,,,,,,10
131,NY,3000,LG,0,8250,,Q,3,,,,,,13
132,2,3600,LG,3,3600,45000,Q,3,,,,,15,11
133,OK,3600,T,1,100,33000,Q,2,,,,,15,6
134,AZ,3300,LG,4,480,,Q,3,,,,,,8
135,GA,3600,LG,0,1200,,Q,3,,,,,,10
136,CA,3300,T,1,300,,Q,3,,,,,,8
137,CA,3300,T,1,160,,Q,3,,,,,,7
138,CA,3600,SG,2,750,,Q,3,,,,,,9
139,CA,3600,P,1,1300,66000,Q,2,,,,,16,10
140,CA,3600,T,1,150,18781,Q,1,,,,,14,7
141,CA,3300,P,1,400,,Q,2,,,,,,8
142,CA,3600,P,0,1300,,Q,3,,,,,,10
143,CA,3600,T,2,500,87647,Q,3,,,,,16,8
144,CA,3600,SG,0,50,,B,2,,,,,,5
145,CA,3600,LG,2,925,98000,Q,3,,,,,16,9
146,CA,3600,LG,0,25,,Q,2,,,,,,4
147,CA,3300,P,2,150,,Q,2,,,,,,7
148,CA,3300,LG,0,50,,B,3,,,,,,5
